ID,Name,Gender,Grade,MaritalStatus,Children,Hobby
1,Sofia,F,B,Married,2,Trekking
2,Clara,F,D,Single,1,Stitching
3,Alfie,M,B,Married,1,Stitching
4,Henry,M,A,Single,0,Music
5,Riley,M,A,Married,--,Music
6,Bella,F,C,Married,4,TV
7,Ava,F,C,Married,0,TV
8,Archie,M,A,Married,1,TV
9,Nathan,M,B,Single,1,Stitching
10,Dominic,M,C,Married,1,Stitching
11,Eleanor,F,B,Single,1,Music
12,Henry,M,C,Separated,1,Music
13,Isla,F,D,Single,4,Music
14,Adam,M,B,Single,0,Music
15,Sonny,M,A,Married,0,Music
16,Finn,M,B,Married,1,Music
17,Louie,M,B,Married,2,Trekking
18,Sebastian,M,C,Separated,0,Music
19,James,M,B,Married,1,Trekking
20,George,M,C,Married,1,Trekking
21,Summer,F,A,Married,4,Music
22,Logan,M,C,Married,3,Trekking
23,Georgia,F,B,Married,4,Trekking
24,Mason,M,D,Single,0,Trekking
25,Olivia,F,C,Married,3,Trekking
26,Lucy,F,B,Married,3,Music
27,Poppy,F,C,Married,3,Music
28,Jacob,M,D,Married,0,Music
29,Connor,M,C,Separated,0,TV
30,Harley,M,B,Married,1,TV
31,Dylan,M,D,Married,1,Music
32,Toby,M,C,Single,3,TV
33,Tyler,M,D,Married,1,TV
34,Ava,F,D,Married,0,TV
35,Alex,M,D,Single,0,Trekking
36,Scarlett,F,D,Married,--,Stitching
37,Reggie,M,B,Married,1,Stitching
38,Sophie,F,C,Married,4,Trekking
39,Matthew,M,A,Married,3,Stitching
40,Ella,F,D,Married,2,Trekking
41,Penelope,F,C,Single,1,Trekking
42,Eleanor,F,B,Single,1,Music
43,Molly,F,D,Married,0,Trekking
44,Felicity,F,A,Single,2,Trekking
45,Sophia,F,C,Married,0,Trekking
46,Louis,M,A,Separated,3,Music
47,Grayson,M,D,Married,3,Music
48,Freddie,M,D,Single,--,Music
49,Jake,M,C,Married,4,Trekking
50,Dexter,M,D,,0,Music
51,Mila,F,A,Married,2,Music
